Designator,Mid X,Mid Y,Rotation,Layer
BT1,113.88,-74.03,0.0,bottom
D1,127.925029,-90.21367,202.5,top
D10,114.216161,-21.294534,0.0,top
D11,127.925029,-24.021397,337.5,top
D12,139.546847,-31.786847,315.0,top
D13,147.312297,-43.408665,292.5,top
D14,150.039161,-57.117534,270.0,top
D15,147.312297,-70.826402,247.5,top
D16,139.546847,-82.44822,225.0,top
D2,114.216161,-92.940534,180.0,top
D3,100.507292,-90.21367,157.5,top
D4,88.885474,-82.44822,135.0,top
D5,81.120024,-70.826402,112.5,top
D6,78.393161,-57.117534,90.0,top
D7,81.120024,-43.408665,67.5,top
D8,88.885474,-31.786847,45.0,top
D9,100.507292,-24.021397,22.5,top
R1,138.84696,-47.837584,292.5,top
R10,89.166619,-57.719619,90.0,top
R11,91.132277,-47.837584,67.5,top
R12,96.73,-39.46,45.0,top
R13,105.107584,-33.862277,22.5,top
R14,114.989619,-31.896619,0.0,top
R15,124.871653,-33.862277,337.5,top
R16,133.249237,-39.46,315.0,top
R2,140.812619,-57.719619,270.0,top
R3,138.84696,-67.601653,247.5,top
R4,133.249237,-75.979237,225.0,top
R5,124.871653,-81.57696,202.5,top
R6,114.989619,-83.542619,180.0,top
R7,105.107584,-81.57696,157.5,top
R8,96.73,-75.979237,135.0,top
R9,91.132277,-67.601653,112.5,top
U1,129.8025,-69.1,180.0,top
U2,114.0875,-57.3585,0.0,top
